idx	gene_id	task_id	system	subsystem	reactions
1078	COX4I1	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1079	COX4I1	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1080	UQCR11	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1081	COX8A	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1082	COX8A	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1083	COX8A	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1084	UQCRFS1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1085	UQCRC1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1086	UQCRB	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1087	UQCRH	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1088	COX6A2	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1089	COX6A2	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1090	COX6A2	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1091	COX5B	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1092	COX5B	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1093	COX5B	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1094	MT_CYB	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOR_u10m
1095	COX7B	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1096	COX7B	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1097	COX7B	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1098	COX8C	5	ENERGY METABOLISM	ATP GENERATION	CYOOm2|CYOOm3
1099	COX8C	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	CYOOm2|CYOOm3
1100	COX8C	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	CYOOm2|CYOOm3
1101	DHODH	10	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	DHORD9
1102	DHODH	12	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	DHORD9
1103	DHODH	14	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	DHORD9
1104	DHODH	16	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	DHORD9
1105	DHODH	17	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	DHORD9
1106	SLC37A4	40	CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	G6Pter|PIter|r2473
1107	TUSC3	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1108	TUSC3	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1109	NDUFA8	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1110	NDUFA8	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1111	NDUFAB1	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1112	NDUFAB1	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1113	MT_ND4	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1114	MT_ND4	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1115	NDUFA13	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1116	NDUFA13	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1117	NDUFA3	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1118	NDUFA3	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1119	NDUFS7	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1120	NDUFS7	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1121	NDUFA10	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1122	NDUFA10	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1123	NDUFA11	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1124	NDUFA11	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1125	NDUFB10	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1126	NDUFB10	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1127	NDUFS4	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1128	NDUFS4	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1129	NDUFB1	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1130	NDUFB1	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1131	NDUFA5	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1132	NDUFA5	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1133	NDUFB9	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1134	NDUFB9	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1135	NDUFA1	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1136	NDUFA1	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1137	NDUFA12	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1138	NDUFA12	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1139	MT_ND1	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1140	MT_ND1	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1141	NDUFA7	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1142	NDUFA7	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1143	NDUFS5	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1144	NDUFS5	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1145	NDUFC1	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1146	NDUFC1	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1147	NDUFB2	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1148	NDUFB2	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1149	NDUFV3	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1150	NDUFV3	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1151	NDUFA2	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1152	NDUFA2	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1153	NDUFS6	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1154	NDUFS6	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1155	MT_ND6	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1156	MT_ND6	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1157	NDUFA6	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1158	NDUFA6	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1159	NDUFV1	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1160	NDUFV1	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1161	NDUFS3	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1162	NDUFS3	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1163	NDUFB7	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1164	NDUFB7	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1165	NDUFB11	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1166	NDUFB11	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1167	NDUFB3	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1168	NDUFB3	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1169	NDUFV2	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1170	NDUFV2	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1171	NDUFS8	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1172	NDUFS8	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1173	NDUFB6	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1174	NDUFB6	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1175	NDUFC2	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1176	NDUFC2	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1177	NDUFB8	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1178	NDUFB8	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1179	MT_ND2	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1180	MT_ND2	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1181	NDUFB4	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1182	NDUFB4	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1183	NDUFB5	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1184	NDUFB5	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1185	NDUFA9	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1186	NDUFA9	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1187	NDUFS2	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1188	NDUFS2	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1189	MT_ND5	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1190	MT_ND5	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1191	MT_ND3	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1192	MT_ND3	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1193	NDUFS1	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1194	NDUFS1	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1195	MT_ND4L	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1196	MT_ND4L	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1197	NDUFA4	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	NADH2_u10m
1198	NDUFA4	5	ENERGY METABOLISM	ATP GENERATION	NADH2_u10m
1199	MT_CO3	5	ENERGY METABOLISM	ATP GENERATION	CYOOm3
1200	COX4I2	5	ENERGY METABOLISM	ATP GENERATION	CYOOm3
1201	COX7A2L	5	ENERGY METABOLISM	ATP GENERATION	CYOOm3
1202	COX7A1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm3
1203	COX6B2	5	ENERGY METABOLISM	ATP GENERATION	CYOOm3
1204	MT_CO1	5	ENERGY METABOLISM	ATP GENERATION	CYOOm3
1205	MT_CO2	5	ENERGY METABOLISM	ATP GENERATION	CYOOm3
1206	PAICS	9	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	AIRCr_PRASCS
1207	PAICS	11	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	AIRCr_PRASCS
1208	PAICS	13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	AIRCr_PRASCS
1209	PAICS	15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	AIRCr_PRASCS
