idx	gene_id	task_id	system	subsystem	reactions
666	GMPPB	46	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	MAN1PT2|r0208
667	GMPPA	46	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	MAN1PT2|r0208
668	MPI	45	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	MAN6PI
669	MCCC2	103	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	MCCCrm
670	MCCC2	104	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	MCCCrm
671	MCCC1	103	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	MCCCrm
672	MCCC1	104	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	MCCCrm
673	MDH1	4	ENERGY METABOLISM	KREBS CYCLE	MDH|MDHm|SLDx
674	MDH1	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	MDH|MDHm|SLDx
675	MDH1	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	MDH|MDHm|SLDx
676	MDH1	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	MDH|MDHm|SLDx
677	MDH1B	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	MDH|SLDx
678	MDH1B	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	MDH|SLDx
679	MDH2	4	ENERGY METABOLISM	KREBS CYCLE	MDHm
680	MDH2	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	MDHm
681	MAT1A	81	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	METAT
682	MAT1A	100	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	METAT
683	MAT1A	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	METAT
684	MAT1A	109	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	METAT
685	MAT1A	112	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	METAT
686	MAT2A	81	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	METAT
687	MAT2A	100	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	METAT
688	MAT2A	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	METAT
689	MAT2A	109	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	METAT
690	MAT2A	112	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	METAT
691	MAT2B	81	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	METAT
692	MAT2B	100	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	METAT
693	MAT2B	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	METAT
694	MAT2B	109	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	METAT
695	MAT2B	112	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	METAT
